dutch,english,topic,section,definition
slavernij,slavery,Topic 2,Feesten en tradities,mensen zijn niet vrij omdat ze het bezit zijn van iemand anders,people are not free because they are the property of someone else
Tweede Wereldoorlog,World War II,Topic 2,Feesten en tradities,een grote oorlog van 1939 tot 1945,a major war from 1939 to 1945
vastentijd,Lent,Topic 2,Feesten en tradities,een periode van 40 dagen voor Pasen waarin sommige mensen minder eten,a period of 40 days before Easter when some people eat less
vuurwerk,fireworks,Topic 2,Feesten en tradities,iets wat knalt en licht geeft als je het aansteekt,something that bangs and gives light when you light it
condoleren,to offer condolences,Topic 2,Contact met anderen,gevoel tonen als iemand is overleden,showing feeling when someone has died
contributie,membership fee,Topic 2,Contact met anderen,geld dat je betaalt als je lid bent van een club of van een vereniging,money you pay when you are a member of a club or association
gecondoleerd,my condolences,Topic 2,Contact met anderen,dit zeg je als iemand overleden is om te laten zien dat je het erg vindt,this is what you say when someone has died to show that you feel sorry
hobby,hobby,Topic 2,Contact met anderen,iets dat je graag doet in je vrije tijd,something you like to do in your free time
kraamvisite,maternity visit,Topic 2,Contact met anderen,bezoek dat langskomt bij de ouders die net een kind hebben gekregen,visit that comes to parents who have just had a child
sociale contacten,social contacts,Topic 2,Contact met anderen,de mensen die je kent en waar je mee omgaat,the people you know and interact with
veel sterkte,much strength,Topic 2,Contact met anderen,dit zeg je om iemand moed te geven die problemen heeft,this is what you say to give courage to someone who has problems
vereniging,association,Topic 2,Contact met anderen,een organisatie van mensen die hetzelfde doel of dezelfde interesse hebben,an organization of people who have the same goal or the same interest
doktersassistent,doctor's assistant,Topic 3,Naar de dokter,iemand die een arts helpt met zijn werkzaamheden bijvoorbeeld door afspraken met patiënten te plannen,someone who helps a doctor with their work for example by scheduling appointments with patients
eerste hulp,first aid,Topic 3,Naar de dokter,meest dringende hulp die verleend wordt aan het slachtoffer van een ongeval,most urgent help given to the victim of an accident
geheimhoudingsplicht,confidentiality obligation,Topic 3,Naar de dokter,mensen met een bepaald beroep bijvoorbeeld de dokter mogen geen privé-informatie aan anderen doorvertellen,people with certain professions like doctors may not share private information with others
gezondheidscentrum,health center,Topic 3,Naar de dokter,een gebouw waarin verschillende vormen van gezondheidszorg zijn gevestigd zoals de huisarts de apotheek de fysiotherapeut etc,a building where various forms of healthcare are located such as the GP pharmacy physiotherapist etc
huisartsenpraktijk,GP practice,Topic 3,Naar de dokter,een gebouw waar één of meerdere huisartsen werken,a building where one or more GPs work
ingreep,procedure,Topic 3,Naar de dokter,een medische handeling van de dokter aan een lichaam = de operatie,a medical procedure by the doctor on a body = the operation
medische dossier,medical file,Topic 3,Naar de dokter,verzameling gegevens over een patiënt,collection of data about a patient
praktijkondersteuner,practice supporter,Topic 3,Naar de dokter,iemand die de huisarts helpt bij de zorg voor mensen die lang ziek zijn,someone who helps the GP with care for people who are chronically ill
spreekuur,consultation hours,Topic 3,Naar de dokter,de tijd waarop je een arts zonder afspraak kunt bezoeken,the time when you can visit a doctor without an appointment
toestemming,permission,Topic 3,Naar de dokter,zeggen dat iets mag,saying that something is allowed
tolk,interpreter,Topic 3,Naar de dokter,een persoon die vertaalt wat iemand zegt,a person who translates what someone says
zorgverlener,healthcare provider,Topic 3,Naar de dokter,iemand die medische zorg verleent voor zijn beroep bijvoorbeeld een arts,someone who provides medical care as their profession for example a doctor
angst,fear,Topic 3,Een verwijzing,een bang gevoel = de vrees,a scared feeling = fear
behandelaar,practitioner,Topic 3,Een verwijzing,iemand die je beter probeert te maken,someone who tries to make you better
cardioloog,cardiologist,Topic 3,Een verwijzing,een dokter in het ziekenhuis die problemen aan het hart behandelt,a doctor in the hospital who treats heart problems
doorverwijzen,refer,Topic 3,Een verwijzing,naar een andere instantie of persoon sturen,sending to another institution or person
geestelijke gezondheidszorg,mental healthcare,Topic 3,Een verwijzing,de zorg die bedoeld is voor mensen met mentale problemen,care intended for people with mental problems
onderzoek,examination,Topic 3,Een verwijzing,de gezondheid van iemand bekijken,examining someone's health
psycholoog,psychologist,Topic 3,Een verwijzing,iemand die mensen met mentale problemen helpt bijvoorbeeld mensen met een depressie,someone who helps people with mental problems for example people with depression
scan,scan,Topic 3,Een verwijzing,een foto of video van de binnenkant van je lichaam die gemaakt worden met een speciaal apparaat,a photo or video of the inside of your body made with a special device
specialist,specialist,Topic 3,Een verwijzing,een arts die veel weet over een bepaald onderwerp,a doctor who knows a lot about a specific subject
therapie,therapy,Topic 3,Een verwijzing,een manier om zieke mensen te behandelen bijvoorbeeld bij mentale problemen,a way to treat sick people for example with mental problems
verwijzing,referral,Topic 3,Een verwijzing,de keer dat een arts je naar een andere arts doorstuurt,when a doctor refers you to another doctor
wachttijd,waiting time,Topic 3,Een verwijzing,de tijd dat je moet wachten bijvoorbeeld voor een afspraak of behandeling bij een arts,the time you have to wait for example for an appointment or treatment with a doctor
apotheek,pharmacy,Topic 3,De apotheek,een winkel waar je medicijnen kunt halen,a store where you can get medicines
bijwerking,side effect,Topic 3,De apotheek,een effect van een medicijn dat niet bedoeld is,an effect of a medicine that is not intended
drogisterij,drugstore,Topic 3,De apotheek,winkel waar onder andere middelen voor de gezondheid en lichaamsverzorging worden verkocht,store where among other things health and personal care products are sold
eigen bijdrage,personal contribution,Topic 3,De apotheek,het gedeelte van de zorg dat je zelf moet betalen,the part of care you have to pay yourself
geneesmiddel,medicine,Topic 3,De apotheek,een middel dat bedoeld is om een zieke beter te maken = het medicijn,a substance intended to make a sick person better = medicine
gunstig,favorable,Topic 3,De apotheek,iets wat gunstig is geeft je voordeel = voordelig,something that is favorable gives you advantage = advantageous
ongunstig,unfavorable,Topic 3,De apotheek,iets dat ongunstig is geeft je nadeel = nadelig,something that is unfavorable gives you disadvantage = disadvantageous
recept,prescription,Topic 3,De apotheek,een briefje van de dokter aan de apotheek waarop staat welke medicijnen iemand moet krijgen,a note from the doctor to the pharmacy stating which medicines someone should get
ambulance,ambulance,Topic 3,Spoed,een gele auto om zieke of gewonde mensen naar het ziekenhuis te brengen = de ziekenwagen,a yellow car to bring sick or injured people to the hospital = ambulance
brandweer,fire department,Topic 3,Spoed,de organisatie die branden uitmaakt,the organization that puts out fires
huisartsenpost,GP post,Topic 3,Spoed,een plek waar je een dokter kunt spreken als je eigen huisarts er niet is,a place where you can speak to a doctor when your own GP is not available
hulpdienst,emergency service,Topic 3,Spoed,instantie die in actie komt bij ongevallen en rampen bijvoorbeeld de politie ambulance en brandweer,institution that takes action in accidents and disasters for example police ambulance and fire department
levensbedreigend,life-threatening,Topic 3,Spoed,zeer gevaarlijk iets waar je dood aan kunt gaan,very dangerous something you can die from
noodnummer 112,emergency number 112,Topic 3,Spoed,een telefoonnummer om de hulpdiensten snel te kunnen spreken,a phone number to quickly contact emergency services
politie,police,Topic 3,Spoed,een dienst die ervoor zorgt dat mensen zich aan de wet houden en dat het veilig is op straat,a service that ensures people follow the law and that it is safe on the street
spoedeisende hulp,emergency care,Topic 3,Spoed,afdeling van een ziekenhuis die zorg verleent aan patiënten bij een noodgeval,department of a hospital that provides care to patients in an emergency
spoedgeval,emergency case,Topic 3,Spoed,een dringend geval waarbij snel iets moet worden gedaan = het noodgeval,an urgent case where something must be done quickly = emergency
verwonding,injury,Topic 3,Spoed,een plaats op het lichaam waar je verwond bent,a place on the body where you are injured
beugel,braces,Topic 3,De tandarts,een metalen hulpmiddel in de mond dat de tanden recht maakt,a metal device in the mouth that straightens teeth
chirurg,surgeon,Topic 3,De tandarts,een dokter in een ziekenhuis die operaties uitvoert,a doctor in a hospital who performs operations
code,code,Topic 3,De tandarts,een combinatie van cijfers en letters die informatie geven,a combination of numbers and letters that give information
controle,check,Topic 3,De tandarts,de keer dat je kijkt of iets klopt = de check,when you check if something is correct = check
gaatje,cavity,Topic 3,De tandarts,een opening in iets wat dicht moet zijn,an opening in something that should be closed
gebit,teeth,Topic 3,De tandarts,je tanden en kiezen,your teeth and molars
handeling,procedure,Topic 3,De tandarts,iets wat je doet = de actie,something you do = action
kies,molar,Topic 3,De tandarts,elk van de achterste grote tanden waarmee je eten fijnmaakt,each of the back large teeth with which you chew food
mond,mouth,Topic 3,De tandarts,het deel van je gezicht waarin je eten doet en waarmee je praat,the part of your face where you put food and with which you speak
mondhygiënist,dental hygienist,Topic 3,De tandarts,iemand die helpt bij het voorkomen van gebitsproblemen,someone who helps prevent dental problems
mondzorg,oral care,Topic 3,De tandarts,de zorg voor je gebit door de tandarts of mondhygiënist,care for your teeth by the dentist or dental hygienist
ontsteking,inflammation,Topic 3,De tandarts,de keer dat iets rood en dik wordt door bacteriën,when something becomes red and swollen due to bacteria
operatie,operation,Topic 3,De tandarts,een medische handeling waarbij tijdelijk een opening in het lichaam wordt gemaakt om een probleem op te lossen,a medical procedure where an opening is temporarily made in the body to solve a problem
orthodontist,orthodontist,Topic 3,De tandarts,een tandarts die tanden recht maakt door een beugel te plaatsen,a dentist who straightens teeth by placing braces
tand,tooth,Topic 3,De tandarts,elk van de witte harde dingen vóór in je mond waarmee je bijt,each of the white hard things in the front of your mouth with which you bite
tandarts,dentist,Topic 3,De tandarts,een arts die problemen aan je tanden en kiezen behandelt,a doctor who treats problems with your teeth and molars
tandenpoetsen,brushing teeth,Topic 3,De tandarts,met een tandenborstel over je tanden bewegen om het schoon te maken,moving a toothbrush over your teeth to clean them
tandenstoker,toothpick,Topic 3,De tandarts,puntig voorwerp die je gebruikt om etensresten tussen je tanden te verwijderen,pointed object you use to remove food remains between your teeth
tandvlees,gums,Topic 3,De tandarts,het roze vlees in je mond waar je tanden uit groeien,the pink flesh in your mouth where your teeth grow from
verdoving,anesthesia,Topic 3,De tandarts,een injectie die ervoor zorgt dat de patiënt geen pijn voelt,an injection that ensures the patient feels no pain
vergoeden,reimburse,Topic 3,De tandarts,de kosten betalen; de zorgverzekering vergoedt de kosten van de arts,paying the costs; health insurance reimburses the costs of the doctor
vulling,filling,Topic 3,De tandarts,het materiaal waarmee een gaatje in een tand of kies gevuld wordt,the material with which a cavity in a tooth or molar is filled
zorgverzekering,health insurance,Topic 3,De tandarts,als je een zorgverzekering hebt betaal je regelmatig een bedrag en krijg je geld als je zorg nodig hebt,if you have health insurance you regularly pay an amount and get money when you need care
beschermen,protect,Topic 3,Kinderen en gezin,zorgen dat iemand of iets veilig is,ensuring someone or something is safe
bevalling,birth,Topic 3,Kinderen en gezin,de gebeurtenis waarbij een kind geboren wordt,the event where a child is born
borstvoeding,breastfeeding,Topic 3,Kinderen en gezin,het geven van moedermelk door de baby aan de borst te leggen,giving breast milk by putting the baby to the breast
consultatiebureau,child health clinic,Topic 3,Kinderen en gezin,een instelling voor medische zorg voor alle kinderen van 0 tot 4 jaar,an institution for medical care for all children from 0 to 4 years
DKTP-vaccinatie,DKTP vaccination,Topic 3,Kinderen en gezin,vaccinatie die beschermt tegen difterie kinkhoest tetanus en het polio-virus,vaccination that protects against diphtheria whooping cough tetanus and polio virus
echo,ultrasound,Topic 3,Kinderen en gezin,video of foto van de binnenkant van het lichaam bijvoorbeeld van een baby die nog niet is geboren,video or photo of the inside of the body for example of an unborn baby
groeigids,growth guide,Topic 3,Kinderen en gezin,boekje waarin de ontwikkelingen van het kind worden bijgehouden door het consultatiebureau,booklet in which the child's developments are tracked by the child health clinic
gynaecoloog,gynecologist,Topic 3,Kinderen en gezin,een arts die gespecialiseerd is in ziekten van vrouwen,a doctor specialized in women's diseases
infectieziekte,infectious disease,Topic 3,Kinderen en gezin,een besmettelijke ziekte die je kunt krijgen als iemand dichtbij je deze ziekte heeft,a contagious disease you can get if someone close to you has this disease
inloopspreekuur,walk-in consultation,Topic 3,Kinderen en gezin,de tijd waarop je bijvoorbeeld de dokter zonder afspraak kunt bezoeken,the time when you can visit for example the doctor without an appointment
jeugdarts,youth doctor,Topic 3,Kinderen en gezin,een arts die gespecialiseerd is in zorg aan kinderen en jongeren,a doctor specialized in care for children and young people
jeugdgezondheidszorg,youth healthcare,Topic 3,Kinderen en gezin,gezondheidszorg die kinderen jongeren en hun ouders ondersteunt bij gezond opgroeien,healthcare that supports children young people and their parents in healthy growing up
jeugdverpleegkundige,youth nurse,Topic 3,Kinderen en gezin,iemand die zich richt op ziekte preventie bij kinderen,someone who focuses on disease prevention in children
keizersnede,cesarean section,Topic 3,Kinderen en gezin,een operatie waarbij een kind wordt geboren via een opening in de buik van de moeder,an operation where a child is born through an opening in the mother's belly
kraamverzorgende,maternity nurse,Topic 3,Kinderen en gezin,iemand die een gezin waar een baby geboren is een tijdje komt helpen,someone who comes to help a family where a baby is born for a while
kraamzorg,maternity care,Topic 3,Kinderen en gezin,de zorg die een vrouw krijgt als ze net een baby heeft gekregen,the care a woman receives when she has just had a baby
meten,measure,Topic 3,Kinderen en gezin,bepalen hoe groot lang warm snel enz iets is,determining how big long warm fast etc something is
tweeling,twins,Topic 3,Kinderen en gezin,twee kinderen die tegelijk uit dezelfde moeder geboren zijn,two children born at the same time from the same mother
vaccinatie,vaccination,Topic 3,Kinderen en gezin,een prik bij iemand inbrengen om een ziekte te voorkomen,giving someone an injection to prevent a disease
verloskundige,midwife,Topic 3,Kinderen en gezin,iemand die zwangere vrouwen helpt met bevallen = de vroedvrouw,someone who helps pregnant women with giving birth = midwife
verloskundigenpraktijk,midwifery practice,Topic 3,Kinderen en gezin,een gebouw waar de verloskunige de patiënten helpt,a building where the midwife helps patients
wegen,weigh,Topic 3,Kinderen en gezin,vaststellen hoe zwaar iets of iemand is,determining how heavy something or someone is
zwangerschap,pregnancy,Topic 3,Kinderen en gezin,de periode dat een vrouw een kind in haar buik draagt,the period when a woman carries a child in her belly
aanvullende verzekering,supplementary insurance,Topic 3,Een zorgverzekering,een zorgverzekering die niet verplicht is en die extra medische kosten vergoedt zoals kosten van fysiotherapie,health insurance that is not mandatory and reimburses extra medical costs such as physiotherapy costs
basisverzekering,basic insurance,Topic 3,Een zorgverzekering,de verplichte zorgverzekering die noodzakelijke medische kosten vergoedt zoals kosten van de huisarts,the mandatory health insurance that reimburses necessary medical costs such as GP costs
declareren,claim,Topic 3,Een zorgverzekering,een rekening sturen naar de zorgverzekering om de kosten die je moet betalen terug te krijgen,sending a bill to health insurance to get back the costs you have to pay
eigen risico,deductible,Topic 3,Een zorgverzekering,het deel van de kosten dat de verzekeraar niet vergoedt je moet het zelf betalen,the part of the costs that the insurer does not reimburse you have to pay it yourself
overstappen,switch,Topic 3,Een zorgverzekering,van de ene verzekering naar een andere verzekering gaan,going from one insurance to another insurance
